Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Cape gannet",-,-,-,-,Animal,30,0,0,30,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Guineafowl",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Tern",-,-,-,-,Animal,4,1,0,3,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Crowned cormorant",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Egyptian Goose",-,-,-,-,Animal,1,1,0,0,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Grey-headed gull",-,-,-,-,Animal,1,0,0,0,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Hartlaub's gull",-,-,-,-,Animal,5,3,0,2,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"House Sparrow",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackal Buzzard",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackass Penguin",-,-,-,-,Animal,11,1,1,9,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Laughing Dove",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Peregrin falcon",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Pied crow",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Rock Pigeon (Rock Dove)",-,-,-,50,Animal,7,0,0,7,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Sacred Ibis",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Sandwich Tern",-,-,-,-,Animal,2,0,0,2,-
